platform,brand,type,followers_count,hashtag_count,mention_count,caption_len_words,caption_len_chars,sentiment_polarity,sentiment_subjectivity,post_hour,post_dayofweek,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,caption,high_engagement_label,split
instagram,lovekellyfelder,Video,87282,2,0,4,51,0.0,0.0,4,1,0,0.8660254037844385,0.5000000000000001,0.7818314824680299,0.6234898018587335,"Launching soon…

#KellyFelderÉlité #luxurylifestyle",0,train
tiktok,lovekellyfelder,Sidecar,87282,4,0,32,224,0.3875,0.575,14,3,0,-0.4999999999999997,-0.8660254037844387,0.4338837391175582,-0.900968867902419,"Kelly Felder Jeans - The Original Fit

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#Premium #KFAngelLifeStyle #LuxuryLifestyle #kellyfelderjeans",0,train
facebook,lovekellyfelder,Sidecar,87282,4,0,29,206,0.0,0.125,12,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,"Kelly Felder Basic Drop✨

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,train
facebook,lovekellyfelder,Image,87282,0,0,21,118,0.6166666666666667,0.8833333333333333,18,2,0,-1.0,-1.8369701987210287e-16,0.9749279121818238,-0.2225209339563143,"May this year bring you strength, confidence and the magic to make every dream come true. 
Cheers to a beautiful 2026!",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,29,213,0.0,0.125,5,6,1,0.9659258262890684,0.2588190451025208,-0.78183148246803,0.6234898018587333,"Kelly Felder Basic Drop✨

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala

HOTLINE | 0717255255
WHATSAPP |+94774226227
#Premium #KFAngelLifeStyle #LuxuryLifestyle #kellyfelderbasics",0,train
facebook,lovekellyfelder,Video,87282,3,0,5,49,0.0,0.0,5,4,0,0.9659258262890684,0.2588190451025208,-0.433883739117558,-0.900968867902419,"Launching soon….

#kellyfelder #workwear #premium",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,29,212,0.0,0.125,9,5,1,0.7071067811865477,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,"Kelly Felder Basic Drop✨

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#Premium #KFAngelLifeStyle #LuxuryLifestyle #kellyfelderbasics",0,train
facebook,lovekellyfelder,Sidecar,87282,4,0,40,280,0.4,0.4,7,2,0,0.9659258262890684,-0.2588190451025207,0.9749279121818238,-0.2225209339563143,"The Signature Fold (Scarf)

Signature Fold
26604800

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

Our signature Kelly Felder scarfs are now available
#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,test
tiktok,lovekellyfelder,Sidecar,87282,4,0,18,149,0.8,1.0,8,4,0,0.8660254037844387,-0.4999999999999997,-0.433883739117558,-0.900968867902419,"2025, wrapped. Thank you to our customers, community, and team for making it unforgettable.

#KellyFelder #YearInReview #LuxuryLifestyle #2025Wrapped",1,test
instagram,lovekellyfelder,Sidecar,87282,0,0,9,49,0.0,0.0,5,2,0,0.9659258262890684,0.2588190451025208,0.9749279121818238,-0.2225209339563143,The outfit inspo you need for the festive season✨,1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,33,233,0.0,0.0,7,2,0,0.9659258262890684,-0.2588190451025207,0.9749279121818238,-0.2225209339563143,"Workday Essentials 
Designed for the year ahead !

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala

HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,train
instagram,lovekellyfelder,Sidecar,87282,2,0,11,72,0.0,0.0,15,6,1,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333,"Work Wear - Designed for the year ahead !

#kellyfelder #premiumworkwear",0,train
facebook,lovekellyfelder,Sidecar,87282,4,0,25,183,0.0,0.0,13,1,0,-0.2588190451025208,-0.9659258262890684,0.7818314824680299,0.6234898018587335,"Workday Essentials! 

In Stores : Colombo 03 | Nugegoda | Colombo City Centre : Level 2
HOTLINE | 0717255255
WHATSAPP |+94774226227
#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,train
facebook,lovekellyfelder,Video,87282,1,0,17,132,0.4,0.5,17,5,1,-0.9659258262890684,-0.2588190451025207,-0.9749279121818236,-0.2225209339563146,"Coffee, fashion, and unforgettable 
moments ☕✨
 
Here’s a look back at our Coffee Meets 
Fashion experience.

#kellyfeldercoffeeclub",0,train
facebook,lovekellyfelder,Video,87282,0,0,5,26,0.0,0.0,4,6,1,0.8660254037844385,0.5000000000000001,-0.78183148246803,0.6234898018587333,Every detail tells a story,1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,28,201,0.0,0.0,4,0,0,0.8660254037844385,0.5000000000000001,0.0,1.0,"The Boardroom Edit

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala

HOTLINE | 0717255255
WHATSAPP |+94774226227
#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,train
tiktok,lovekellyfelder,Sidecar,87282,4,0,33,234,0.0,0.0,7,1,0,0.9659258262890684,-0.2588190451025207,0.7818314824680299,0.6234898018587335,"Nocturne: L’Heure Noire✨
For moments the night remembers.

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",0,test
instagram,lovekellyfelder,Sidecar,87282,3,0,13,115,0.0,0.0,12,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,"Nocturne: L’Heure Noire✨
Elegance designed for the night’s finest moments.

#kellyfelder #luxurylifestyle #nocturne",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,19,147,0.5121212121212121,0.7000000000000001,6,1,0,1.0,6.123233995736766e-17,0.7818314824680299,0.6234898018587335,"Nocturne: L’Heure Noire✨
Exquisite occasion wear, now live.
Secure yours via the link in bio.

#kellyfelder #luxurylifestyle #nocturne #eveningwear",1,train
instagram,lovekellyfelder,Sidecar,87282,0,0,5,27,0.0,0.0,11,6,1,0.258819045102521,-0.9659258262890684,-0.78183148246803,0.6234898018587333,Carrying the season in red.,1,train
facebook,lovekellyfelder,Sidecar,87282,0,0,8,51,0.6,1.0,2,3,0,0.4999999999999999,0.8660254037844386,0.4338837391175582,-0.900968867902419,"Nocturne: The Nightfall
Designed to own the night. ",0,test
instagram,lovekellyfelder,Video,87282,2,0,13,90,-0.1333333333333333,0.3666666666666667,9,5,1,0.7071067811865477,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,"Giselle Mini Dress - blush pink or black? She likes both.

#kellyfelder #festivecollection",1,train
instagram,lovekellyfelder,Sidecar,87282,3,0,17,131,0.0,0.0,14,4,0,-0.4999999999999997,-0.8660254037844387,-0.433883739117558,-0.900968867902419,"Presenting the Holiday Wishlist with Kelly Felder ✨
Curated looks for every festive moment

#luxury #kellyfelder #festivecollection",1,train
facebook,lovekellyfelder,Video,87282,0,0,6,42,0.0,0.0,5,6,1,0.9659258262890684,0.2588190451025208,-0.78183148246803,0.6234898018587333,What’s your night-out pick? Comment below ,0,train
tiktok,lovekellyfelder,Image,87282,1,0,7,54,0.0,0.0,8,3,0,0.8660254037844387,-0.4999999999999997,0.4338837391175582,-0.900968867902419,"What’s on your list? Comment below

#12daysofchristmas",0,train
instagram,lovekellyfelder,Image,87282,1,0,9,51,0.0,0.0,11,4,0,0.258819045102521,-0.9659258262890684,-0.433883739117558,-0.900968867902419,"Just in for the 12 Days of Christmas.

#kellyfelder",0,train
instagram,lovekellyfelder,Sidecar,87282,4,1,28,188,0.0,0.0,8,1,0,0.8660254037844387,-0.4999999999999997,0.7818314824680299,0.6234898018587335,"Redvers Buller -  Premium Menswear✨ @redversbulleruk 

In stores now : Kelly Felder Col 03 | Nugegoda | Colombo City Centre, Level 02 | Wattala
#Premium #Exclusive #RedversBuller #menswear",1,train
instagram,lovekellyfelder,Sidecar,87282,1,0,7,47,0.0,0.0,7,1,0,0.9659258262890684,-0.2588190451025207,0.7818314824680299,0.6234898018587335,"Christmas Wings & Wine -Wrapped ✨

#kellyfelder",0,train
tiktok,lovekellyfelder,Sidecar,87282,3,0,13,97,0.0,0.0,5,2,0,0.9659258262890684,0.2588190451025208,0.9749279121818238,-0.2225209339563143,"Nocturne - The NIGHTFALL ✨
Where elegance deepens after dusk.

#kellyfelder #luxurywear #nocturne",0,train
instagram,lovekellyfelder,Sidecar,87282,4,1,28,188,0.0,0.0,10,1,0,0.4999999999999999,-0.8660254037844386,0.7818314824680299,0.6234898018587335,"Redvers Buller -  Premium Menswear✨ @redversbulleruk 

In stores now : Kelly Felder Col 03 | Nugegoda | Colombo City Centre, Level 02 | Wattala
#Premium #Exclusive #RedversBuller #menswear",1,train
facebook,lovekellyfelder,Video,87282,1,0,7,40,0.0,0.0,5,1,0,0.9659258262890684,0.2588190451025208,0.7818314824680299,0.6234898018587335,"Sip, paint and be merry ✨

#wingsandwine",0,train
instagram,lovekellyfelder,Sidecar,87282,1,0,6,40,0.0,0.0,8,2,0,0.8660254037844387,-0.4999999999999997,0.9749279121818238,-0.2225209339563143,"Nocturne - The NIGHTFALL ✨

#kellyfelder",1,train
instagram,lovekellyfelder,Sidecar,87282,0,0,11,73,-0.15,0.4,11,2,0,0.258819045102521,-0.9659258262890684,0.9749279121818238,-0.2225209339563143,Designed for the moments that begin after dark. Nocturne: The Nightfall. ,0,train
facebook,lovekellyfelder,Sidecar,87282,4,0,28,200,0.0,0.0,14,2,0,-0.4999999999999997,-0.8660254037844387,0.9749279121818238,-0.2225209339563143,"Nocturne: The NIGHTFALL

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",0,test
facebook,lovekellyfelder,Sidecar,87282,4,1,28,188,0.0,0.0,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680299,0.6234898018587335,"Redvers Buller -  Premium Menswear✨ @redversbulleruk 

In stores now : Kelly Felder Col 03 | Nugegoda | Colombo City Centre, Level 02 | Wattala
#Premium #Exclusive #RedversBuller #menswear",1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,28,201,0.0,0.0,14,1,0,-0.4999999999999997,-0.8660254037844387,0.7818314824680299,0.6234898018587335,"Nocturne: The NIGHTFALL✨

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,train
instagram,lovekellyfelder,Image,87282,0,3,93,552,0.5726190476190476,0.5952380952380952,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680299,0.6234898018587335,"✨ GIVEAWAY ALERT – WIN Rs. 200,000 THIS CHRISTMAS! ✨

 Your KELLY FELDER × REDVERS BULLER Christmas just got magical! 

We’re gifting lucky winners Rs. 200,000 worth of shopping vouchers to celebrate the most wonderful time of the year. ️

How to Enter:
1️⃣ Follow @redversbulleruk 
2️⃣ Tag 5 friends in the comments
3️⃣ Share this post on your story and mention
@lovekellyfelder & @redversbulleruk ✨

✨ If you’ve already participated via our first giveaway post, your entry is valid and will be considered.

Elevate your Christmas style with KF × RB ✨",1,train
facebook,lovekellyfelder,Sidecar,87282,4,0,33,231,0.0,0.0,8,0,0,0.8660254037844387,-0.4999999999999997,0.0,1.0,"The Boardroom Edit - Premium Workwear Collection

In Stores Now : Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,test
instagram,lovekellyfelder,Video,87282,1,0,18,116,0.2,0.4,13,5,1,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,"Workday, in form. 
| Executive Edit WW Blazer
| Structured Straight Trousers
| Pier Sling Shoulder Bag

#kellyfelder",0,train
instagram,lovekellyfelder,Sidecar,87282,1,0,1,16,0.0,0.0,12,5,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,#LoveKellyFelder,0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,33,231,0.0,0.0,12,2,0,1.2246467991473532e-16,-1.0,0.9749279121818238,-0.2225209339563143,"The Boardroom Edit - Premium Workwear Collection

In Stores Now : Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,train
instagram,lovekellyfelder,Image,87282,1,0,6,40,0.0,0.0,4,1,0,0.8660254037844385,0.5000000000000001,0.7818314824680299,0.6234898018587335,"Day 4 - Unwrapped! ✨

#12datsofchristmas",0,train
instagram,lovekellyfelder,Sidecar,87282,2,0,5,42,0.0,0.0,11,0,0,0.258819045102521,-0.9659258262890684,0.0,1.0,"Sips & Surprises 

#kellyfelder #community",1,train
instagram,lovekellyfelder,Video,87282,1,0,57,327,0.29,0.45,12,2,0,1.2246467991473532e-16,-1.0,0.9749279121818238,-0.2225209339563143,"As 2025 draws to a close, we want to thank our community, and team for shaping a remarkable year at Kelly Felder. Your trust, creativity, and support pushed us to go further and create more than we imagined.
We step into the year ahead inspired, focused, and ready for what’s next.

2026 is already in motion✨

#lovekellyfelder",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,28,200,0.0,0.0,6,5,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,"The Boardroom Edit

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,test
instagram,lovekellyfelder,Video,87282,0,0,7,39,-0.1875,0.5,8,6,1,0.8660254037844387,-0.4999999999999997,-0.78183148246803,0.6234898018587333,This season calls for a little more‍↔️✨,1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,27,170,0.0,0.0,8,5,1,0.8660254037844387,-0.4999999999999997,-0.9749279121818236,-0.2225209339563146,"Redvers Buller -  Premium Menswear✨

In stores now : Kelly Felder Col 03 | Nugegoda | Colombo City Centre, Level 02 | Wattala
#Premium #Exclusive #RedversBuller #menswear",1,train
instagram,lovekellyfelder,Video,87282,2,0,6,43,0.7,0.8,4,0,0,0.8660254037844385,0.5000000000000001,0.0,1.0,"Moments we loved ✨

#kellyfelder #community",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,35,256,0.0,0.0,9,6,1,0.7071067811865477,-0.7071067811865475,-0.78183148246803,0.6234898018587333,"Kelly Felder - Casuals Collection!
Relaxed silhouettes in softer shades.

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala

HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",1,train
instagram,lovekellyfelder,Video,87282,0,0,6,35,0.35,0.9,11,4,0,0.258819045102521,-0.9659258262890684,-0.433883739117558,-0.900968867902419,"Classy or Trendy? 
choose your vibe",1,train
tiktok,lovekellyfelder,Sidecar,87282,4,0,33,248,0.0,0.0,4,5,1,0.8660254037844385,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,"Kelly Felder - Basics Drop✨
Official Website: www.kellyfelder.com

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",1,train
instagram,lovekellyfelder,Video,87282,2,0,50,311,0.1041666666666667,0.0999999999999999,13,0,0,-0.2588190451025208,-0.9659258262890684,0.0,1.0,"Project HOPE: Phase 02 with Sri Lanka Red Cross 

Moments from Project Hope, Phase 02, as Kelly Felder delivered our second consecutive clothing donation to the Sri Lanka Red Cross in aid of the flood affected families.

For the community, with love! Hope stitched into every piece. ✨

#projecthope
#kellyfelder",0,test
facebook,lovekellyfelder,Video,87282,3,0,12,97,0.0,0.0,8,3,0,0.8660254037844387,-0.4999999999999997,0.4338837391175582,-0.900968867902419,"She’s serving elegance today✨

which look is your pick? 

#luxury #festivecollection #kellyfelder",1,train
instagram,lovekellyfelder,Sidecar,87282,1,0,9,51,0.0,0.0,10,0,0,0.4999999999999999,-0.8660254037844386,0.0,1.0,"Not just a look - An Angel’s Aura 
#lovekellyfelder",1,test
instagram,lovekellyfelder,Video,87282,0,0,6,32,-0.1875,0.5,10,6,1,0.4999999999999999,-0.8660254037844386,-0.78183148246803,0.6234898018587333,A little moment of retail peace ,1,train
instagram,lovekellyfelder,Video,87282,0,0,25,151,0.0,0.0,11,2,0,0.258819045102521,-0.9659258262890684,0.9749279121818238,-0.2225209339563143,Discover finest menswear in Sri Lanka. Step into Redvers Buller at Colombo City Centre or any Kelly Felder store Or shop anytime at redversbuller.com ✨,1,train
instagram,lovekellyfelder,Sidecar,87282,2,0,5,39,0.0,0.0,4,2,0,0.8660254037844385,0.5000000000000001,0.9749279121818238,-0.2225209339563143,"Sealed in style.

#Nocturn #kellyfelder",0,train
instagram,lovekellyfelder,Video,87282,0,0,7,47,0.5,1.0,14,1,0,-0.4999999999999997,-0.8660254037844387,0.7818314824680299,0.6234898018587335,Where midnight glamour meets Christmas magic. ✨,0,test
tiktok,lovekellyfelder,Sidecar,87282,4,0,37,262,0.8,1.0,7,1,0,0.9659258262890684,-0.2588190451025207,0.7818314824680299,0.6234898018587335,"Midnight Couture - Refined glamour and luxurious textures for unforgettable nights. ✨

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,test
instagram,lovekellyfelder,Sidecar,87282,4,0,29,199,0.0,0.0,4,1,0,0.8660254037844385,0.5000000000000001,0.7818314824680299,0.6234898018587335,"The Midnight Couture ✨

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,29,199,0.0,0.0,10,2,0,0.4999999999999999,-0.8660254037844386,0.9749279121818238,-0.2225209339563143,"The Midnight Couture ✨

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",0,train
facebook,lovekellyfelder,Sidecar,87282,2,0,9,66,0.0,0.0,13,0,0,-0.2588190451025208,-0.9659258262890684,0.0,1.0,"Hold the dots and slide to reveal

#12daysofchristmas #kellyfelder",0,train
tiktok,lovekellyfelder,Sidecar,87282,0,0,22,136,0.3571428571428572,0.5714285714285714,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.900968867902419,"Walk Into Christmas, Walk Into Kelly Felder ✨

Sip, shop, and celebrate the season with festive ambiance and special surprises in store.",1,test
instagram,lovekellyfelder,Image,87282,0,3,72,437,0.6263888888888889,0.638888888888889,7,4,0,0.9659258262890684,-0.2588190451025207,-0.433883739117558,-0.900968867902419,"✨ GIVEAWAY ALERT – WIN Rs. 200,000 THIS CHRISTMAS! ✨
 Your KELLY FELDER x REDVERSE BULLER Christmas just got magical! 

We’re gifting lucky winners Rs. 200,000 worth of shopping vouchers to celebrate the most wonderful time of the year! ️

How to Enter:
1️⃣ Follow @redversbulleruk 
2️⃣ Tag your Friends (5)
3️⃣ Share this post on your story & mention us (@lovekellyfelder @redversbulleruk )✨

Elevate your Christmas style with KF x RB.✨",1,train
instagram,lovekellyfelder,Sidecar,87282,4,0,32,221,0.0,0.0,2,2,0,0.4999999999999999,0.8660254037844386,0.9749279121818238,-0.2225209339563143,"The CEO Edit - Exclusive WW Collection

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #KFAngelLifeStyle #LuxuryLifestyle",0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,32,224,0.3875,0.575,14,3,0,-0.4999999999999997,-0.8660254037844387,0.4338837391175582,-0.900968867902419,"Kelly Felder Jeans - The Original Fit

In-Stores Now : Colombo 03 | Nugegoda | Colombo City
Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#Premium #KFAngelLifeStyle #LuxuryLifestyle #kellyfelderjeans",1,train
facebook,lovekellyfelder,Video,87282,4,0,7,80,0.4375,0.575,8,4,0,0.8660254037844387,-0.4999999999999997,-0.433883739117558,-0.900968867902419,"The Original Fit!

#Premium #KFAngelLifeStyle #LuxuryLifestyle #kellyfelderjeans",0,train
instagram,lovekellyfelder,Video,87282,1,0,8,62,0.1704545454545454,0.4545454545454545,10,3,0,0.4999999999999999,-0.8660254037844386,0.4338837391175582,-0.900968867902419,"New Arrivals - Kelly Felder Jeans Collection!

#theoriginalfit",0,train
instagram,lovekellyfelder,Video,87282,1,0,6,42,1.0,1.0,4,6,1,0.8660254037844385,0.5000000000000001,-0.78183148246803,0.6234898018587333,Elegance You Can Carry #lovekellyfelder <3,0,train
instagram,lovekellyfelder,Sidecar,87282,4,0,34,240,0.0,0.0,7,2,0,0.9659258262890684,-0.2588190451025207,0.9749279121818238,-0.2225209339563143,"The Midnight Couture ✨

Ophelia Front-Slit Maxi Dress
25314100 

In Stores Now: Colombo 03 | Nugegoda | Colombo City Centre : Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227

#kellyfelder #Premium #Eveningwear #luxurylifestyle",0,train
facebook,lovekellyfelder,Video,87282,2,0,11,76,0.0,0.0,6,3,0,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,"A signature of refined style - Kelly Felder ✨

#kellyfelder #luxurylifestyle",1,train
tiktok,lovekellyfelder,Video,87282,1,0,12,65,0.0,0.0,4,5,1,0.8660254037844385,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,"A look that blends like it was meant to be. ✨

 #kfangellifestyle",1,train
facebook,lovekellyfelder,Video,87282,0,0,3,17,0.0,0.3571428571428572,10,5,1,0.4999999999999999,-0.8660254037844386,-0.9749279121818236,-0.2225209339563146,Simply Elevated ✨,0,train
facebook,lovekellyfelder,Sidecar,87282,4,0,32,224,0.0,0.0,12,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,"Nocturne - The Prelude ✨
Before the Night Begins!

In-Stores Now: Colombo 03 | Nugegoda | Colombo City
Centre: Level 2 | Wattala
HOTLINE | 0717255255
WHATSAPP |+94774226227
#kellyfelder #Premium #Eveningwear #luxurylifestyle",1,train
instagram,lovekellyfelder,Video,87282,2,0,8,61,0.0,0.0,10,3,0,0.4999999999999999,-0.8660254037844386,0.4338837391175582,-0.900968867902419,"The CEO Collection in motion ✨

#kellyfelder #luxurylifestyle",0,train
facebook,lovekellyfelder,Video,87282,3,0,9,73,0.25,0.3333333333333333,3,3,0,0.7071067811865476,0.7071067811865477,0.4338837391175582,-0.900968867902419,"Your first step into the night

#kellyfelder #luxurylifestyle #luxurywear",0,train
instagram,lovekellyfelder,Sidecar,87282,3,0,12,89,0.0,0.0,13,2,0,-0.2588190451025208,-0.9659258262890684,0.9749279121818238,-0.2225209339563143,"Nocturne - The Prelude ✨
Before the Night Begins!

#kellyfelder #luxurylifestyle #premium",0,train
